what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1603622586670
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1603622586670
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1603622586670
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1603622586671
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1603622586671
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1603622586672
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1603622586672
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1603622586673
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1603622586673
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1603622586674
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1603622586675
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1603622586675
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1603622586676
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1603622586676
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1603622586676
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1603622586677
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1603622586677
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1603622586685
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1603622586685
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1603622586685
os,sysinfo,,,"win32",1603622586687
arch,sysinfo,,,"x86",1603622586687
ws,sysinfo,,,"win32",1603622586687
locale,sysinfo,,,"ru_RU",1603622586687
processors,sysinfo,,,"4",1603622586688
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1603622586688
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1603622586688
java.specification.name,sysinfo,,,"Java Platform API Specification",1603622586688
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1603622586688
java.specification.version,sysinfo,,,"1.6",1603622586688
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1603622586688
java.version,sysinfo,,,"1.6.0_23",1603622586688
java.vm.info,sysinfo,,,"mixed mode",1603622586688
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1603622586688
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1603622586688
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1603622586688
java.vm.specification.version,sysinfo,,,"1.0",1603622586688
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1603622586688
java.vm.version,sysinfo,,,"19.0-b09",1603622586688
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1603622592785
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1603622594150
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1603622594185
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1603622600706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622600754
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1603622600981
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1603622600990
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1603622600991
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1603622600992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622603353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622608436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622618528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622618904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622625930
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1603622668895
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1603622685985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622693091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622727402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622732091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622736065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622742653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622769309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622773221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622775822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622779392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622783300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622786422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622940877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603622968231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623261505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623268083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623270789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623274446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623372008
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1603623419982
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1603623419985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623429878
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1603623491410
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1603623498539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623498839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623500655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623569083
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1603623571545
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1603623571991
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1603623572010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603623961460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603624194169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603624272808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603624285046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1603624285060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603624286335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625227030
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1603625227072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1603625232167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625239527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625259800
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1603625260960
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1603625260996
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1603625314818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625326561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625332872
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1603625333343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625334307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1603625334341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625367906
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1603625413560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625418891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625423037
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1603625423986
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1603625425679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625426052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1603625426087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625432999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1603625433578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1603625433912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1603625434400
